Game,Winner,0,1,2,3,4,5,6,7,8
99,O,X,,O,X,O,,,,X
99,O,X,O,O,X,O,,,,X
99,O,X,O,O,X,O,X,,,X
99,O,X,O,O,X,O,X,,O,X
100,O,,,,X,,,,,
100,O,,,,X,O,,,,
100,O,,,,X,O,,,,X
100,O,,,,X,O,,,O,X
100,O,,,,X,O,X,,O,X
100,O,,O,,X,O,X,,O,X
101,X,,,,,,X,,,
101,X,,,,O,,X,,,
101,X,,,,O,,X,,,X
101,X,,,,O,O,X,,,X
101,X,X,,,O,O,X,,,X
101,X,X,,O,O,O,X,,,X
101,X,X,,O,O,O,X,X,,X
101,X,X,O,O,O,O,X,X,,X
101,X,X,O,O,O,O,X,X,X,X
102,O,,,,,,,,,X
102,O,,,,,O,,,,X
102,O,,,,,O,,,X,X
102,O,,,,,O,,O,X,X
102,O,,,,,O,X,O,X,X
102,O,,,O,,O,X,O,X,X
103,O,,,,,,,,,X
103,O,,,,,O,,,,X
103,O,X,,,,O,,,,X
103,O,X,,,,O,,,O,X
103,O,X,,,,O,X,,O,X
103,O,X,O,,,O,X,,O,X
104,O,,,,,,,,,X
104,O,,,,,,O,,,X
104,O,X,,,,,O,,,X
104,O,X,,,,O,O,,,X
104,O,X,,,,O,O,X,,X
104,O,X,,,O,O,O,X,,X
105,O,,,,,,,,,X
105,O,,,,,O,,,,X
105,O,X,,,,O,,,,X
105,O,X,,,,O,,,O,X
105,O,X,,,,O,X,,O,X
105,O,X,O,,,O,X,,O,X
106,X,,,,,X,,,,
106,X,,,O,,X,,,,
106,X,,,O,,X,,,,X
106,X,O,,O,,X,,,,X
106,X,O,,O,X,X,,,,X
106,X,O,,O,X,X,,,O,X
106,X,O,,O,X,X,X,,O,X
107,X,,,,,,,,,X
107,X,,,,,O,,,,X
107,X,X,,,,O,,,,X
107,X,X,,,,O,,,O,X
107,X,X,,X,,O,,,O,X
107,X,X,,X,O,O,,,O,X
107,X,X,,X,O,O,X,,O,X
108,X,,,,,,,,,X
108,X,,,,,O,,,,X
108,X,X,,,,O,,,,X
108,X,X,,O,,O,,,,X
108,X,X,,O,,O,X,,,X
108,X,X,O,O,,O,X,,,X
108,X,X,O,O,,O,X,,X,X
108,X,X,O,O,O,O,X,,X,X
108,X,X,O,O,O,O,X,X,X,X
109,O,,,,,,,,X,
109,O,O,,,,,,,X,
109,O,O,X,,,,,,X,
109,O,O,X,,,O,,,X,
109,O,O,X,,X,O,,,X,
109,O,O,X,,X,O,,O,X,
109,O,O,X,X,X,O,,O,X,
109,O,O,X,X,X,O,,O,X,O
110,O,,X,,,,,,,
110,O,,X,,,O,,,,
110,O,,X,,X,O,,,,
110,O,,X,,X,O,,O,,
110,O,X,X,,X,O,,O,,
110,O,X,X,,X,O,,O,O,
110,O,X,X,,X,O,,O,O,X
110,O,X,X,O,X,O,,O,O,X
111,X,,,,,,,,,X
111,X,O,,,,,,,,X
111,X,O,,,,,X,,,X
111,X,O,,,,,X,O,,X
111,X,O,,,X,,X,O,,X
111,X,O,,,X,O,X,O,,X
111,X,O,,X,X,O,X,O,,X
112,X,,,,,,,,,X
112,X,,,O,,,,,,X
112,X,X,,O,,,,,,X
112,X,X,,O,,O,,,,X
112,X,X,,O,,O,X,,,X
112,X,X,O,O,,O,X,,,X
112,X,X,O,O,,O,X,X,,X
112,X,X,O,O,O,O,X,X,,X
112,X,X,O,O,O,O,X,X,X,X
113,O,,,,,,,,,X
113,O,,,,,,,,O,X
113,O,X,,,,,,,O,X
113,O,X,,,,O,,,O,X
113,O,X,,,,O,,X,O,X
113,O,X,O,,,O,,X,O,X
114,X,X,,,,,,,,
114,X,X,,,,,,O,,
114,X,X,X,,,,,O,,
114,X,X,X,,,O,,O,,
114,X,X,X,X,,O,,O,,
115,O,,,,,,,,,X
115,O,,,,,O,,,,X
115,O,X,,,,O,,,,X
115,O,X,,,,O,,,O,X
115,O,X,,,,O,X,,O,X
115,O,X,O,,,O,X,,O,X
116,O,,,,,,,,,X
116,O,,,,,O,,,,X
116,O,X,,,,O,,,,X
116,O,X,,,,O,,,O,X
116,O,X,,,,O,X,,O,X
116,O,X,O,,,O,X,,O,X
117,O,,,,,,,,,X
117,O,,,O,,,,,,X
117,O,,X,O,,,,,,X
117,O,,X,O,,,,O,,X
117,O,X,X,O,,,,O,,X
117,O,X,X,O,,O,,O,,X
