Game,Winner,0,1,2,3,4,5,6,7,8
71,O,X,X,,,X,,O,O,O
72,O,,,,,X,,,,
72,O,,,,O,X,,,,
72,O,,,X,O,X,,,,
72,O,,,X,O,X,,,O,
72,O,X,,X,O,X,,,O,
72,O,X,,X,O,X,,O,O,
72,O,X,,X,O,X,X,O,O,
72,O,X,,X,O,X,X,O,O,O
73,X,,,,,X,,,,
73,X,,O,,,X,,,,
73,X,,O,,,X,,,,X
73,X,,O,,O,X,,,,X
73,X,,O,X,O,X,,,,X
73,X,O,O,X,O,X,,,,X
73,X,O,O,X,O,X,,,X,X
73,X,O,O,X,O,X,O,,X,X
73,X,O,O,X,O,X,O,X,X,X
74,X,,,,,X,,,,
74,X,,,,,X,O,,,
74,X,,,X,,X,O,,,
74,X,,,X,,X,O,O,,
74,X,X,,X,,X,O,O,,
74,X,X,,X,,X,O,O,O,
74,X,X,,X,,X,O,O,O,X
75,X,,,,,X,,,,
75,X,,,,,X,,O,,
75,X,,,X,,X,,O,,
75,X,,,X,,X,,O,,O
75,X,,X,X,,X,,O,,O
75,X,O,X,X,,X,,O,,O
75,X,O,X,X,X,X,,O,,O
75,X,O,X,X,X,X,O,O,,O
75,X,O,X,X,X,X,O,O,X,O
76,X,,,,,X,,,,
76,X,,,,O,X,,,,
76,X,,,X,O,X,,,,
76,X,O,,X,O,X,,,,
76,X,O,,X,O,X,,,X,
76,X,O,O,X,O,X,,,X,
76,X,O,O,X,O,X,,,X,X
76,X,O,O,X,O,X,O,,X,X
76,X,O,O,X,O,X,O,X,X,X
77,,,,,,X,,,,
77,,,,,,X,,O,,
77,,,,X,,X,,O,,
77,,O,,X,,X,,O,,
77,,O,,X,X,X,,O,,
77,,O,O,X,X,X,,O,,
77,,O,O,X,X,X,,O,,X
77,,O,O,X,X,X,O,O,,X
77,,O,O,X,X,X,O,O,X,X
78,X,,,,,X,,,,
78,X,,,,,X,,,,O
78,X,,X,,,X,,,,O
78,X,,X,,O,X,,,,O
78,X,,X,X,O,X,,,,O
78,X,,X,X,O,X,O,,,O
78,X,X,X,X,O,X,O,,,O
79,X,,,,,X,,,,
79,X,,,,,X,,,,O
79,X,,X,,,X,,,,O
79,X,,X,O,,X,,,,O
79,X,,X,O,,X,,X,,O
79,X,O,X,O,,X,,X,,O
79,X,O,X,O,X,X,,X,,O
79,X,O,X,O,X,X,,X,O,O
79,X,O,X,O,X,X,X,X,O,O
80,X,,,,,X,,,,
80,X,,O,,,X,,,,
80,X,,O,,,X,,,,X
80,X,,O,,O,X,,,,X
80,X,,O,X,O,X,,,,X
80,X,,O,X,O,X,O,,,X
80,X,X,O,X,O,X,O,,,X
81,O,,,,,X,,,,
81,O,,,,,X,,,O,
81,O,X,,,,X,,,O,
81,O,X,,O,,X,,,O,
81,O,X,,O,,X,,X,O,
81,O,X,,O,,X,,X,O,O
81,O,X,X,O,,X,,X,O,O
81,O,X,X,O,,X,O,X,O,O
82,X,,,,,X,,,,
82,X,,O,,,X,,,,
82,X,,O,,,X,,,,X
82,X,,O,O,,X,,,,X
82,X,,O,O,,X,X,,,X
82,X,,O,O,,X,X,O,,X
82,X,X,O,O,,X,X,O,,X
83,O,,,,,X,,,,
83,O,,,,,X,,,,O
83,O,,X,,,X,,,,O
83,O,,X,,O,X,,,,O
83,O,,X,X,O,X,,,,O
83,O,,X,X,O,X,,O,,O
83,O,,X,X,O,X,X,O,,O
83,O,O,X,X,O,X,X,O,,O
84,X,,,,,X,,,,
84,X,,,,,X,,,,O
84,X,,X,,,X,,,,O
84,X,,X,,O,X,,,,O
84,X,,X,X,O,X,,,,O
84,X,O,X,X,O,X,,,,O
84,X,O,X,X,O,X,,,X,O
85,X,,,,,X,,,,
85,X,,,,,X,,,O,
85,X,X,,,,X,,,O,
85,X,X,,,O,X,,,O,
85,X,X,,X,O,X,,,O,
85,X,X,,X,O,X,O,,O,
85,X,X,,X,O,X,O,X,O,
86,X,,,,,X,,,,
86,X,O,,,,X,,,,
86,X,O,,,X,X,,,,
86,X,O,,,X,X,O,,,
86,X,O,,X,X,X,O,,,
86,X,O,,X,X,X,O,,,O
86,X,O,X,X,X,X,O,,,O
86,X,O,X,X,X,X,O,O,,O
86,X,O,X,X,X,X,O,O,X,O
87,X,,,,,X,,,,
87,X,,,,O,X,,,,
87,X,,,X,O,X,,,,
87,X,,,X,O,X,,,,O
87,X,,X,X,O,X,,,,O
87,X,,X,X,O,X,,,O,O
87,X,X,X,X,O,X,,,O,O
88,X,,,,,X,,,,
88,X,,,,,X,O,,,
88,X,,,X,,X,O,,,
88,X,O,,X,,X,O,,,
88,X,O,,X,X,X,O,,,
88,X,O,,X,X,X,O,,O,
88,X,O,,X,X,X,O,X,O,
89,X,,,,,X,,,,
89,X,,,,,X,,,,O
89,X,,X,,,X,,,,O
89,X,O,X,,,X,,,,O
89,X,O,X,,X,X,,,,O
89,X,O,X,,X,X,,,O,O
89,X,O,X,X,X,X,,,O,O
89,X,O,X,X,X,X,O,,O,O
89,X,O,X,X,X,X,O,X,O,O
90,X,,,,,X,,,,
90,X,,,,,X,,O,,
90,X,,,X,,X,,O,,
90,X,,O,X,,X,,O,,
